City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Victoria,HK,22.2855,114.1577,59.25,79,77,5.01,broken clouds
80,Sawakin,SD,19.1059,37.3321,76.51,85,100,13.8,overcast clouds
81,Grand Island,US,40.925,-98.342,17.2,34,0,5.75,clear sky
82,Bethel,US,41.3712,-73.414,44.29,95,100,0.0,mist
83,Shakhtinsk,KZ,49.71,72.5872,-5.24,88,4,4.16,clear sky
84,Dikson,RU,73.5069,80.5464,-7.51,94,100,5.73,overcast clouds
85,Ciudad Bolivar,VE,8.1222,-63.5497,81.77,57,15,13.78,few clouds
86,Georgetown,MY,5.4112,100.3354,82.33,83,20,1.99,few clouds
87,Tiznit,MA,29.5833,-9.5,62.22,26,64,7.29,broken clouds
88,Kerema,PG,-7.9631,145.7785,86.05,61,100,7.63,overcast clouds
89,Carnarvon,AU,-24.8667,113.6333,89.69,37,7,8.32,clear sky
90,Mar Del Plata,AR,-38.0023,-57.5575,71.1,93,100,1.99,fog
91,Aitape,PG,-3.1374,142.3475,84.06,66,42,5.75,scattered clouds
92,Roald,NO,62.5833,6.1333,40.12,87,100,12.66,light rain
93,Alice Springs,AU,-23.7,133.8833,72.95,35,97,18.41,overcast clouds
94,Panama,PA,9.0,-80.0,80.44,95,15,3.47,few clouds
95,Susangerd,IR,31.5608,48.1831,53.62,52,86,7.31,overcast clouds
96,Margate,GB,51.3813,1.3862,48.96,84,100,20.92,overcast clouds
97,Manakara,MG,-22.1333,48.0167,75.34,92,98,9.44,moderate rain
98,Jiayuguan,CN,39.8167,98.3,15.15,39,55,3.85,broken clouds
99,Ponta Do Sol,PT,32.6667,-17.1,66.0,76,37,4.36,scattered clouds
100,Fershampenuaz,RU,53.5202,59.8117,20.23,83,100,13.71,overcast clouds
101,Jawad,IN,24.6,74.85,49.66,54,0,1.83,clear sky
102,Bengkulu,ID,-3.8004,102.2655,76.95,86,96,3.11,overcast clouds
103,Ushibuka,JP,32.1906,130.0228,46.31,50,17,17.4,few clouds
104,Cabo San Lucas,MX,22.8909,-109.9124,70.11,57,20,10.36,few clouds
105,Champerico,GT,14.3,-91.9167,81.36,66,23,6.15,few clouds
106,Bullhead City,US,35.1478,-114.5683,56.62,19,0,18.41,clear sky
107,Kivsharivka,UA,49.6213,37.7036,28.92,97,100,7.18,overcast clouds
108,Anderson,US,34.5334,-82.6499,57.24,98,100,0.0,overcast clouds
109,Atuona,PF,-9.8,-139.0333,78.66,74,4,15.73,clear sky
110,Galatii Bistritei,RO,46.9833,24.4,22.35,98,100,2.06,overcast clouds
111,Chuy,UY,-33.6971,-53.4616,73.02,95,100,5.79,heavy intensity rain
112,Atambua,ID,-9.1061,124.8925,78.6,80,65,6.26,broken clouds
113,Saint-Philippe,RE,-21.3585,55.7679,78.35,93,100,33.62,moderate rain
114,Westport,US,41.1415,-73.3579,48.74,96,100,3.0,mist
115,Terrasini,IT,38.146,13.0844,54.21,53,0,8.05,clear sky
116,Thompson,CA,55.7435,-97.8558,-18.24,69,0,8.05,clear sky
117,Saint-Joseph,RE,-21.3667,55.6167,77.36,89,100,27.63,moderate rain
118,Castro,BR,-24.7911,-50.0119,65.12,98,100,5.37,light rain
119,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,0.0,clear sky
120,Khatanga,RU,71.9667,102.5,-33.14,100,89,3.91,overcast clouds
121,Shelburne,CA,44.0787,-80.2041,11.19,88,100,12.82,overcast clouds
122,Qaqortoq,GL,60.7167,-46.0333,27.1,92,100,15.79,light snow
123,Bredasdorp,ZA,-34.5322,20.0403,61.92,67,100,4.61,overcast clouds
124,Prado,BR,-17.3411,-39.2208,77.34,88,31,6.8,scattered clouds
125,Gunjur,GM,13.2019,-16.7339,72.75,65,0,7.54,clear sky
126,Upernavik,GL,72.7868,-56.1549,3.2,66,100,5.48,overcast clouds
127,Huangchuan,CN,32.1272,115.0394,39.97,71,37,3.56,scattered clouds
128,Ballina,AU,-28.8667,153.5667,75.24,87,40,18.41,light rain
129,Abu Zabad,SD,12.35,29.25,70.02,17,100,15.86,overcast clouds
130,Boende,CD,-0.2167,20.8667,67.05,95,95,2.73,overcast clouds
131,Meulaboh,ID,4.1363,96.1285,76.08,86,94,3.8,overcast clouds
132,Touros,BR,-5.1989,-35.4608,81.5,75,83,13.33,broken clouds
133,Shiogama,JP,38.3167,141.0333,37.38,60,97,10.02,overcast clouds
134,Rykhtychi,UA,49.3851,23.5566,31.01,82,100,8.55,overcast clouds
135,Yellowknife,CA,62.456,-114.3525,-24.45,87,0,5.75,clear sky
136,Laguna,US,38.421,-121.4238,59.14,54,0,0.0,clear sky
137,Ahipara,NZ,-35.1667,173.1667,77.14,70,99,14.72,overcast clouds
138,Kaitangata,NZ,-46.2817,169.8464,48.51,96,100,1.1,moderate rain
139,Alyangula,AU,-13.8483,136.4192,84.07,74,40,11.5,light rain
140,Belaya Gora,RU,68.5333,146.4167,-33.12,99,38,1.01,scattered clouds
141,Airai,TL,-8.9266,125.4092,71.64,67,77,4.41,broken clouds
142,Mwense,ZM,-10.3845,28.698,65.48,98,100,0.65,light rain
143,East London,ZA,-33.0153,27.9116,69.39,81,100,15.5,light rain
144,Ilo,PE,-17.6394,-71.3375,69.48,80,100,3.8,overcast clouds
145,Rochegda,RU,62.8,43.25,-10.16,100,100,0.98,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,12.36,62,96,6.69,overcast clouds
147,Qaanaaq,GL,77.484,-69.3632,-14.31,56,98,8.25,overcast clouds
148,Puerto Penasco,MX,31.3167,-113.5333,56.91,14,0,5.01,clear sky
149,Sisimiut,GL,66.9395,-53.6735,12.47,75,64,33.93,broken clouds
150,Norman Wells,CA,65.282,-126.8329,-34.56,67,20,3.44,few clouds
151,Visnes,NO,59.3556,5.2242,42.85,65,20,16.11,light intensity drizzle
152,Poopo,BO,-18.3667,-66.9667,49.48,67,100,3.13,overcast clouds
153,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,10,3.0,clear sky
154,Lokosovo,RU,61.1333,74.8167,23.49,95,100,12.26,snow
155,Kinkala,CG,-4.3614,14.7644,70.11,94,93,2.51,overcast clouds
156,Ostrovnoy,RU,68.0531,39.5131,14.7,93,100,3.71,light snow
157,Avarua,CK,-21.2078,-159.775,84.25,79,40,19.57,scattered clouds
158,Pecos,US,31.4229,-103.4932,25.63,68,75,3.44,broken clouds
159,Arlit,NE,18.7369,7.3853,55.2,20,6,7.78,clear sky
160,Gwanda,ZW,-20.9333,29.0,70.39,65,15,4.74,few clouds
161,Arraial Do Cabo,BR,-22.9661,-42.0278,75.43,91,100,9.73,overcast clouds
162,Reconquista,AR,-29.15,-59.65,74.5,74,19,8.3,few clouds
163,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,18.86,clear sky
164,Esperance,AU,-33.8667,121.9,73.36,53,2,13.15,clear sky
165,Saint George,US,37.1041,-113.5841,43.39,27,0,15.01,clear sky
166,Poya,NC,-21.35,165.15,79.68,88,100,5.23,overcast clouds
167,Karratha,AU,-20.7377,116.8463,89.76,46,67,8.93,broken clouds
168,Pereyaslovskaya,RU,45.8412,39.0238,36.9,96,100,9.15,light rain
169,Kitwe,ZM,-12.7961,28.2477,61.81,99,99,3.94,overcast clouds
170,Bambanglipuro,ID,-7.95,110.2833,80.19,76,99,3.33,overcast clouds
171,Acarau,BR,-2.8856,-40.12,78.8,83,81,12.39,broken clouds
172,Barrow,US,71.2906,-156.7887,-23.78,76,100,3.44,haze
173,Inuvik,CA,68.3499,-133.7218,-15.59,76,20,2.3,few clouds
174,Bathsheba,BB,13.2167,-59.5167,77.61,65,20,12.66,few clouds
175,Lorengau,PG,-2.0226,147.2712,84.54,66,100,8.61,overcast clouds
176,Trenggalek,ID,-8.05,111.7167,79.0,84,100,1.32,overcast clouds
177,Broome,US,42.2506,-75.833,35.37,84,100,4.0,freezing rain
178,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,2.3,broken clouds
179,Trapani,IT,37.8333,12.6667,49.89,76,0,8.05,clear sky
180,Zarubino,RU,42.63,131.0922,14.86,52,1,18.52,clear sky
181,Dingle,PH,10.9995,122.6711,81.09,77,75,16.82,broken clouds
182,Vaini,TO,-21.2,-175.2,86.16,79,75,11.5,broken clouds
183,Manokwari,ID,-0.8667,134.0833,80.91,76,96,3.94,overcast clouds
184,Mascote,BR,-15.5631,-39.3025,72.41,95,33,1.81,scattered clouds
185,Axim,GH,4.8699,-2.2405,78.82,85,0,5.99,light rain
186,Cabedelo,BR,-6.9811,-34.8339,81.27,74,99,12.91,overcast clouds
187,College,US,64.8569,-147.8028,2.46,54,75,4.61,broken clouds
188,Kodiak,US,57.79,-152.4072,40.51,87,100,10.36,mist
189,Tiksi,RU,71.6872,128.8694,-11.63,100,100,6.64,overcast clouds
190,Waitara,NZ,-38.925,174.25,73.0,71,14,13.13,few clouds
191,Cheney,US,47.4874,-117.5758,32.0,90,100,4.61,light snow
192,Maningrida,AU,-12.0667,134.2667,86.43,62,100,11.18,light rain
193,Emmauss,RU,56.7805,36.115,17.11,97,99,4.27,light snow
194,Northam,GB,51.0333,-4.2167,51.42,92,100,24.05,overcast clouds
195,Marsa Matruh,EG,31.3525,27.2453,55.22,73,97,30.87,overcast clouds
196,Lerwick,GB,60.1545,-1.1494,39.2,57,100,30.13,overcast clouds
197,Ambulu,ID,-8.345,113.6058,82.94,70,95,2.42,overcast clouds
198,Miandrivazo,MG,-19.5167,45.4667,77.56,87,51,1.66,broken clouds
199,Waterfoot,GB,53.6929,-2.2525,45.16,94,100,5.99,heavy intensity rain
200,Zlobin,HR,45.2924,14.6541,36.7,80,0,4.61,clear sky
201,Kununurra,AU,-15.7667,128.7333,85.98,74,75,3.44,broken clouds
202,Narsaq,GL,60.9167,-46.05,26.82,97,100,7.7,snow
203,Bulungu,CD,-4.55,18.6,67.33,97,100,0.98,overcast clouds
204,Bad Salzuflen,DE,52.0862,8.7443,43.95,92,100,12.71,overcast clouds
205,Taltal,CL,-25.4,-70.4833,68.49,69,0,4.68,clear sky
206,Vila Velha,BR,-20.3297,-40.2925,76.95,95,75,4.0,broken clouds
207,Kargasok,RU,59.0556,80.8572,14.07,92,100,12.06,overcast clouds
208,Araguaina,BR,-7.1911,-48.2072,74.75,86,99,3.94,overcast clouds
209,Cidreira,BR,-30.1811,-50.2056,75.99,88,76,22.93,broken clouds
210,Carutapera,BR,-1.195,-46.02,76.12,90,100,6.62,overcast clouds
211,Faya,SA,18.3851,42.4509,53.71,62,17,4.03,few clouds
212,Boa Vista,BR,2.8197,-60.6733,84.18,54,0,12.66,clear sky
213,Hasaki,JP,35.7333,140.8333,43.29,55,100,9.55,overcast clouds
214,Gushikawa,JP,26.3544,127.8686,62.6,95,100,11.5,overcast clouds
215,Saint-Pierre,RE,-21.3393,55.4781,78.44,86,100,18.86,moderate rain
216,Tessalit,ML,20.1986,1.0114,56.61,17,0,11.68,clear sky
217,Batagay-Alyta,RU,67.8006,130.4114,-18.18,97,99,2.89,overcast clouds
218,Faanui,PF,-16.4833,-151.75,81.23,70,1,15.1,clear sky
219,Mahebourg,MU,-20.4081,57.7,80.89,89,75,25.32,broken clouds
220,Dwarka,IN,22.2394,68.9678,67.15,49,5,6.06,clear sky
221,Hailey,US,43.5196,-114.3153,14.9,73,0,3.44,clear sky
222,Kyren,RU,51.6828,102.1408,6.35,87,88,1.28,overcast clouds
223,Morganton,US,35.7454,-81.6848,60.04,97,100,1.01,moderate rain
224,Inta,RU,66.0317,60.1659,15.71,95,100,5.7,overcast clouds
225,Nancha,CN,47.1333,129.2667,5.27,67,15,5.64,few clouds
226,Lebu,CL,-37.6167,-73.65,59.76,92,17,12.68,few clouds
227,Marakkanam,IN,12.2,79.95,72.97,79,5,6.35,clear sky
228,Port Blair,IN,11.6667,92.75,73.44,88,40,0.0,mist
229,Te Anau,NZ,-45.4167,167.7167,48.25,96,100,2.51,light rain
230,Quatre Cocos,MU,-20.2078,57.7625,80.71,89,100,20.94,light rain
231,Riyadh,SA,24.6877,46.7219,60.94,36,2,7.29,clear sky
232,Jijiga,ET,9.35,42.8,54.43,11,9,6.2,clear sky
233,Shirhatti,IN,15.2333,75.5833,62.35,87,12,6.42,few clouds
234,Venice,US,27.0998,-82.4543,72.09,86,0,10.36,mist
235,Klaksvik,FO,62.2266,-6.589,34.72,83,98,48.9,light snow
236,Mandal,IN,25.45,74.5667,51.53,48,0,4.85,clear sky
237,Coquimbo,CL,-29.9533,-71.3436,64.47,80,6,5.41,clear sky
238,Lamu,KE,-2.2717,40.902,79.02,93,100,8.37,overcast clouds
239,Kant,IN,27.8,79.8,52.47,97,40,8.39,scattered clouds
240,Arcata,US,40.8665,-124.0828,52.66,79,0,8.01,clear sky
241,Kutum,SD,14.2,24.6667,57.16,15,0,12.62,clear sky
242,Tilichiki,RU,60.4667,166.1,3.99,76,100,10.49,overcast clouds
243,Havelock,US,34.8791,-76.9013,66.06,84,100,5.01,overcast clouds
244,Kaputa,ZM,-8.4689,29.6619,67.26,92,100,4.07,moderate rain
245,Vangaindrano,MG,-23.35,47.6,75.29,91,90,8.48,light rain
246,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.66,90,5,1.57,clear sky
247,Isiro,CD,2.7739,27.616,66.11,48,100,2.21,overcast clouds
248,Imeni Poliny Osipenko,RU,52.4201,136.4853,-3.19,89,100,1.59,overcast clouds
249,Manzhouli,CN,49.6,117.4333,-8.41,87,11,7.18,few clouds
250,Anshun,CN,26.25,105.9333,34.63,84,100,6.53,overcast clouds
251,Ahtopol,BG,42.1,27.95,39.67,79,13,9.4,few clouds
252,Mazagao,BR,-0.115,-51.2894,80.65,96,100,3.96,overcast clouds
253,Helong,CN,42.5397,128.9972,8.98,60,20,9.8,few clouds
254,Puerto Carreno,CO,6.189,-67.4859,82.38,74,40,2.3,scattered clouds
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.78,96,97,5.79,overcast clouds
